ID,Status
173560,0
173561,0
173562,0
173563,0
173564,0
173565,0
173566,0
173567,0
173568,0
173569,0
173570,0
173571,1
173572,0
173573,0
173574,0
173575,0
173576,0
173577,0
173578,0
173579,1
173580,1
173581,0
173582,0
173583,1
173584,0
173585,0
173586,0
173587,0
173588,0
173589,0
173590,0
173591,0
173592,0
173593,1
173594,1
173595,0
173596,0
173597,0
173598,1
173599,0
173600,0
173601,0
173602,0
173603,0
173604,0
173605,0
173606,0
173607,0
173608,0
173609,0
173610,0
173611,0
173612,0
173613,0
173614,0
173615,0
173616,0
173617,0
173618,0
173619,0
173620,0
173621,0
173622,1
173623,0
173624,0
173625,0
173626,0
173627,0
173628,1
173629,1
173630,0
173631,0
173632,0
173633,0
173634,0
173635,0
173636,0
173637,0
173638,0
173639,0
173640,0
173641,0
173642,0
173643,0
173644,0
173645,0
173646,0
173647,0
173648,0
173649,0
173650,0
173651,0
173652,0
173653,0
173654,0
173655,0
173656,0
173657,0
173658,0
173659,0
173660,0
173661,0
173662,1
173663,0
173664,0
173665,0
173666,0
173667,0
173668,0
173669,0
173670,0
173671,0
173672,0
173673,0
173674,0
173675,0
173676,0
173677,0
173678,0
173679,0
173680,0
173681,0
173682,0
173683,0
173684,0
173685,0
173686,0
173687,0
173688,0
173689,0
173690,0
173691,0
173692,0
173693,1
173694,0
173695,0
173696,1
173697,0
173698,0
173699,0
173700,0
173701,0
173702,0
173703,0
173704,1
173705,0
173706,0
173707,0
173708,0
173709,0
173710,0
173711,0
173712,0
173713,1
173714,1
173715,0
173716,0
173717,0
173718,1
173719,0
173720,0
173721,0
173722,1
173723,0
173724,0
173725,0
173726,1
173727,0
173728,0
173729,0
173730,0
173731,0
173732,0
173733,0
173734,0
173735,0
173736,0
173737,0
173738,0
173739,0
173740,0
173741,0
173742,0
173743,0
173744,0
173745,0
173746,1
173747,0
173748,0
173749,0
173750,0
173751,0
173752,0
173753,1
173754,0
173755,0
173756,0
173757,0
173758,0
173759,0
173760,0
173761,0
173762,0
173763,0
173764,0
173765,0
173766,0
173767,0
173768,0
173769,1
173770,0
173771,0
173772,0
173773,0
173774,0
173775,1
173776,0
173777,0
173778,0
173779,0
173780,0
173781,0
173782,0
173783,0
173784,0
173785,1
173786,0
173787,1
173788,0
173789,0
173790,0
173791,0
173792,0
173793,0
173794,0
173795,0
173796,0
173797,0
173798,0
173799,0
173800,0
173801,0
173802,0
173803,0
173804,0
173805,0
173806,0
173807,0
173808,0
173809,0
173810,0
173811,1
173812,0
173813,0
173814,0
173815,0
173816,0
173817,0
173818,0
173819,0
173820,1
173821,0
173822,0
173823,0
173824,0
173825,0
173826,1
173827,0
173828,0
173829,0
173830,0
173831,1
173832,0
173833,0
173834,0
173835,0
173836,0
173837,0
173838,0
173839,0
173840,1
173841,0
173842,0
173843,0
173844,0
173845,0
173846,0
173847,0
173848,0
173849,0
173850,0
173851,0
173852,0
173853,0
173854,0
173855,0
173856,0
173857,0
173858,0
173859,0
173860,0
173861,0
173862,0
173863,0
173864,0
173865,0
173866,0
173867,1
173868,0
173869,0
173870,0
173871,0
173872,0
173873,0
173874,0
173875,0
173876,0
173877,0
173878,0
173879,0
173880,1
173881,0
173882,0
173883,0
173884,0
173885,0
173886,0
173887,0
173888,0
173889,0
173890,0
173891,0
173892,0
173893,0
173894,0
173895,0
173896,0
173897,0
173898,0
173899,0
173900,0
173901,0
173902,0
173903,0
173904,0
173905,0
173906,1
173907,0
173908,0
173909,0
173910,0
173911,0
173912,0
173913,0
173914,0
173915,0
173916,0
173917,0
173918,0
173919,0
173920,0
173921,0
173922,0
173923,0
173924,0
173925,0
173926,0
173927,1
173928,0
173929,0
173930,0
173931,0
173932,0
173933,0
173934,0
173935,0
173936,0
173937,0
173938,0
173939,0
173940,0
173941,1
173942,0
173943,0
173944,0
173945,0
173946,1
173947,0
173948,0
173949,0
173950,0
173951,0
173952,0
173953,0
173954,0
173955,0
173956,0
173957,0
173958,1
173959,0
173960,0
173961,0
173962,0
173963,0
173964,1
173965,0
173966,0
173967,0
173968,0
173969,1
173970,0
173971,0
173972,0
173973,0
173974,1
173975,0
173976,0
173977,0
173978,0
173979,1
173980,1
173981,0
173982,0
173983,0
173984,0
173985,0
173986,0
173987,1
173988,0
173989,0
173990,0
173991,0
173992,0
173993,0
173994,0
173995,0
173996,0
173997,0
173998,0
173999,0
174000,0
174001,0
174002,0
174003,0
174004,0
174005,0
174006,0
174007,0
174008,0
174009,1
174010,0
174011,0
174012,1
174013,0
174014,0
174015,0
174016,0
174017,0
174018,1
174019,0
174020,0
174021,0
174022,0
174023,1
174024,0
174025,0
174026,0
174027,1
174028,0
174029,0
174030,0
174031,0
174032,0
174033,0
174034,0
174035,0
174036,1
174037,0
174038,0
174039,0
174040,0
174041,0
174042,0
174043,0
174044,0
174045,0
174046,0
174047,0
174048,0
174049,0
174050,0
174051,0
174052,0
174053,0
174054,0
174055,0
174056,0
174057,0
174058,0
174059,0
174060,0
174061,0
174062,1
174063,0
174064,0
174065,0
174066,0
174067,0
174068,0
174069,0
174070,0
174071,0
174072,0
174073,0
174074,0
174075,0
174076,0
174077,0
174078,1
174079,1
174080,0
174081,0
174082,1
174083,0
174084,0
174085,0
174086,0
174087,0
174088,0
174089,0
174090,0
174091,0
174092,0
174093,0
174094,0
174095,1
174096,0
174097,0
174098,0
174099,0
174100,0
174101,0
174102,0
174103,0
174104,0
174105,0
174106,0
174107,0
174108,0
174109,1
174110,0
174111,0
174112,0
174113,1
174114,0
174115,0
174116,0
174117,0
174118,0
174119,0
174120,0
174121,0
174122,0
174123,0
174124,0
174125,0
174126,1
174127,0
174128,0
174129,0
174130,0
174131,1
174132,0
174133,0
174134,0
174135,0
174136,0
174137,0
174138,0
174139,0
174140,0
174141,0
174142,0
174143,0
174144,0
174145,0
174146,0
174147,0
174148,0
174149,0
174150,0
174151,0
174152,0
174153,0
174154,0
174155,0
174156,0
174157,0
174158,0
174159,1
174160,0
174161,0
174162,0
174163,0
174164,0
174165,1
174166,0
174167,0
174168,0
174169,0
174170,1
174171,0
174172,0
174173,1
174174,0
174175,0
174176,0
174177,0
174178,0
174179,0
174180,0
174181,1
174182,0
174183,0
174184,0
174185,0
174186,0
174187,0
174188,0
174189,0
174190,0
174191,0
174192,0
174193,0
174194,0
174195,0
174196,0
174197,0
174198,0
174199,0
174200,0
174201,0
174202,0
174203,0
174204,0
174205,1
174206,0
174207,0
174208,0
174209,0
174210,0
174211,0
174212,0
174213,0
174214,0
174215,0
174216,0
174217,0
174218,0
174219,0
174220,0
174221,0
174222,0
174223,1
174224,0
174225,0
174226,1
174227,0
174228,0
174229,0
174230,0
174231,0
174232,0
174233,0
174234,0
174235,0
174236,0
174237,0
174238,0
174239,0
174240,0
174241,0
174242,0
174243,0
174244,0
174245,0
174246,0
174247,1
174248,0
174249,0
174250,0
174251,0
174252,0
174253,0
174254,0
174255,0
174256,0
174257,0
174258,0
174259,0
174260,0
174261,0
174262,0
174263,0
174264,1
174265,1
174266,0
174267,0
174268,0
174269,1
174270,0
174271,0
174272,0
174273,0
174274,0
174275,0
174276,0
174277,0
174278,0
174279,0
174280,0
174281,0
174282,0
174283,0
174284,1
174285,0
174286,0
174287,0
174288,0
174289,0
174290,0
174291,0
174292,0
174293,1
174294,0
174295,0
174296,0
174297,0
174298,0
174299,0
174300,0
174301,0
174302,0
174303,0
174304,0
174305,0
174306,0
174307,0
174308,0
174309,0
174310,0
174311,0
174312,0
174313,0
174314,0
174315,0
174316,0
174317,0
174318,0
174319,0
174320,0
174321,0
174322,0
174323,1
174324,0
174325,0
174326,0
174327,0
174328,0
174329,0
174330,0
174331,0
174332,0
174333,1
174334,0
174335,0
174336,0
174337,0
174338,0
174339,0
174340,0
174341,0
174342,0
174343,0
174344,0
174345,0
174346,0
174347,0
174348,0
174349,0
174350,0
174351,0
174352,0
174353,0
174354,0
174355,0
174356,1
174357,0
174358,0
174359,0
174360,0
174361,0
174362,0
174363,0
174364,0
174365,0
174366,0
174367,0
174368,0
174369,0
174370,0
174371,0
174372,0
174373,0
174374,0
174375,0
174376,0
174377,0
174378,0
174379,0
174380,0
174381,0
174382,1
174383,0
174384,0
174385,0
174386,0
174387,0
174388,0
174389,0
174390,0
174391,0
174392,1
174393,0
174394,0
174395,0
174396,0
174397,0
174398,0
174399,1
174400,0
174401,0
174402,0
174403,0
174404,0
174405,0
174406,0
174407,0
174408,0
174409,0
174410,0
174411,0
174412,1
174413,0
174414,0
174415,0
174416,1
174417,0
174418,0
174419,0
174420,0
174421,1
174422,0
174423,0
174424,1
174425,0
174426,0
174427,0
174428,0
174429,0
174430,0
174431,0
174432,1
174433,0
174434,0
174435,0
174436,0
174437,0
174438,0
174439,0
174440,0
174441,0
174442,0
174443,0
174444,0
174445,1
174446,0
174447,0
